PassiveSkillGraphId,Name,Datafile Parsing Index
49379,Hired Killer,289
49416,Adamant,290
49445,Deep Breaths,291
49459,King of the Hill,292
49538,Defiance,293
49621,Acuity,294
49772,Utmost Might,295
49969,Courage,296
50029,Unnatural Calm,297
50197,Ancestral Knowledge,298
50338,Ballistics,299
50690,Replenishing Remedies,300
50858,Admonisher,301
51108,Arcane Capacitor,302
51212,Entropy,303
51440,Druidic Rite,304
51559,Smashing Strikes,305
51748,Carrion,306
51881,Master Fletcher,307
52031,Disintegration,308
52090,Feller of Foes,309
52157,Soul Siphon,310
52230,Weathered Hunter,311
52714,Prowess,312
53013,Atrophy,313
53042,Exceptional Performance,314
53114,Revenge of the Hunted,315
53118,Barbarism,316
53493,Annihilation,317
53573,Arcane Expanse,318
53757,Shamanistic Fury,319
53802,Essence Extraction,320
54142,Finesse,321
54268,Blade Barrier,322
54629,Inexorable,323
54694,Light of Divinity,324
54713,Force Shaper,325
54776,Mana Flows,326
54791,Claws of the Magpie,327
55114,Utmost Intellect,328
55380,Clever Construction,329
55485,Constitution,330
55772,Blacksmith's Clout,331
56029,Agility,332
56094,One with the River,333
56276,Nightstalker,334
56359,Cannibalistic Rite,335
56648,Claws of the Falcon,336
56716,Heart of Thunder,337
57199,Fangs of Frost,338
57839,Blade of Cunning,339
57900,Command of Steel,340
58032,Serpentine Spellslinger,341
58198,Fingers of Frost,342
58218,Purity of Flesh,343
58449,Born to Fight,344
58831,Disemboweling,345
58921,Disciple of the Slaughter,346
59151,Brutal Blade,347
59556,Expeditious Munitions,348
59605,Unstable Munitions,349
59766,Dirty Techniques,350
59866,Entrench,351
60002,Fury Bolts,352
60031,Prismatic Skin,353
60180,Thief's Craft,354
60501,Heart of Flame,355
60619,Galvanic Hammer,356
60737,Sleight of Hand,357
61039,Panopticon,358
61198,Heart of the Warrior,359
61308,Amplify,360
61689,Explosive Elements,361
61981,Doom Cast,362
61982,Grave Intentions,363
62094,Taste for Blood,364
62577,Essence Surge,365
63033,Bannerman,366
63150,Ironwood,367
63207,Tempest Blast,368
63251,Inveterate,369
63422,Lust for Carnage,370
63635,Primal Manifestation,371
63727,Gladiator's Perseverance,372
63921,Utmost Swiftness,373
63933,Totemic Zeal,374
63944,Prism Weave,375
63976,Shaper,376
64077,Warrior Training,377
64355,Brand Equity,378
64395,Blunt Trauma,379
64882,Disciple of the Unyielding,380
65053,Essence Sap,381
65093,Bladedancer,382
65097,Leadership,383
65107,Bastion Breaker,384
65108,Tireless,385
65210,Heart of Oak,386
65224,Aspect of the Eagle,387
65273,Enigmatic Reach,388
65308,Diamond Skin,389
65502,Heartseeker,390
94,Evasion,391
127,Life on Kill and Recoup,392
224,Warcry Cooldown Recovery,393
238,Dexterity,394
265,Claw Critical Strike Chance,395
367,Energy Shield,396
420,Physical and Minion Damage,397
444,Dexterity,398
465,Projectile Damage and Attack Speed,399
476,Strength,400
487,Strength,401
651,Elemental Resistances,402
720,Accuracy and Attack Damage,403
739,Cast Speed,404
864,Impale Effect with Two Handed Weapons,405
885,Fire Damage,406
903,Movement Speed and Spell Suppression,407
918,Attack Speed,408
930,Bow Damage,409
1031,Intelligence,410
1159,Attack Damage and Attack Speed with Shield,411
1201,Attack Damage,412
1203,Life,413
1252,Knockback Chance,414
1346,Spell Critical Strike Chance,415
1427,Chaos Resistance,416
1461,Dexterity,417
1550,Fire Damage and Life Regeneration,418
1572,Physical Damage Over Time Multiplier,419
1593,Shield Block and Elemental Resistances with a Shield,420
1600,Elemental Damage,421
1609,Minion Life Regeneration,422
1648,Poison Chance,423
1655,Mine Damage,424
1696,Totem Placement Speed and Duration,425
1698,Sword Critical Strike Chance and Multiplier,426
1761,Staff Damage and Armour,427
1767,Life and Energy Shield on Kill,428
1822,Life and Energy Shield,429
1891,Mana,430
1909,Two Handed Melee Damage and Attack Speed,431
1957,Cast Speed,432
2092,Melee Damage and Strike Range,433
2094,Evasion and Life,434
2121,Claw Attack Speed,435
2151,Mana Regeneration and Intelligence,436
2185,Bow Damage and Attack Speed,437
2219,Life Regeneration,438
2260,Mine Damage,439
2292,Mana and Life,440
2348,Link Mana Cost and Cast Speed,441
2355,Shield Defences,442
2392,Dual Wield Damage and Block,443
2411,Mace Damage and Stun Duration,444
2454,Two Handed Melee Damage,445
2474,Life Recoup,446
2913,Dexterity,447
2957,Armour,448
3009,Dual Wield Accuracy,449
3167,Life Regeneration,450
3187,Movement Speed and Spell Suppression,451
3314,Frenzy Charge Duration,452
3319,Shield Block and Block Recovery,453
3359,Curse Cast Speed,454
3362,Claw Attack Speed and Poison Chance,455
3398,Shock Resistance,456
3424,Dagger Damage and Movement Speed,457
3469,Dexterity,458
3533,Life and Reduced Cost,459
3537,Power Charge Duration,460
3634,Life on Hit,461
3644,Strength,462
3656,Intelligence,463
3676,Flask Charges Gained,464
3863,Dagger Critical Strike Multiplier and Poison Duration,465
3992,Accuracy,466
4011,Dexterity,467
4036,Critical Strike Multiplier,468
4105,Life on Kill and Recoup,469
4184,Elemental Damage,470
4219,Evasion and Energy Shield,471
4247,Minion Life,472
4270,Brand Duration,473
4300,Totem Damage and Placement Speed,474
4336,Sword Damage,475
4367,Intelligence,476
4378,Life Leech,477
4397,Intelligence,478
4432,Energy Shield,479
4502,Intelligence,480
4546,Mine Detonation Speed,481
4565,Dual Wield Attack Speed,482
4568,Physical and Minion Damage,483
4573,Evasion and Movement Skill Cooldown Recovery,484
4656,Spell Suppression and Life Flask Recovery,485
4713,Burning Damage Multiplier,486
4750,Totem Attack and Placement Speed,487
4944,"Armour, Evasion and Onslaught Effect",488
4973,Damage Over Time Multiplier,489
4977,Staff Critical Strike Chance and Multiplier,490
5018,Chance to Poison with Spells,491
5022,Weapon Lightning Damage,492
5065,Maximum Lightning Resistance,493
5068,Mace Critical Strike Chance and Multiplier,494
5103,Life Regeneration and Stun Threshold,495
5129,Damage Over Time Multiplier,496
5152,Life,497
5197,Life,498
5233,Strength,499
5237,Dexterity,500
5296,Intelligence,501
5408,Dexterity,502
5462,Staff Area of Effect,503
5560,Area of Effect,504
5591,Energy Shield Recharge Rate,505
5612,Physical Attack Damage,506
5613,Physical Damage and Attack and Cast Speed,507
5616,Dexterity,508
5622,Dual Wield Critical Strike Multiplier and Accuracy,509
5629,Claw Damage,510
5743,Life and Energy Shield,511
5802,Dagger Damage and Movement Speed,512
5875,Cast Speed and Spell Critical Strike Chance,513
5916,Burning Damage Multiplier,514
5935,Aura Area of Effect,515
5972,Cold Damage,516
6043,Maximum Fire Resistance,517
6108,Sword Critical Strike Chance and Multiplier,518
6113,Axe Damage,519
6139,Fortification Gain,520
6204,Mana,521
6245,Chance to Ignite,522
6250,Curse Cast Speed,523
6359,Armour and Life,524
6363,Dexterity,525
6383,Spell Suppression and Life Flask Recovery,526
6446,Strength,527
6534,Evasion and Spell Suppression,528
6538,Intelligence,529
6542,Evasion,530
6580,Dexterity,531
6616,Dual Wield Cast Speed and Movement Skill Cooldown Recovery,532
6633,Mace Damage and Area of Effect,533
6654,Bow Damage and Critical Strike Chance,534
6685,Minion Attack and Cast Speed,535
6712,Life,536
6718,Elemental Resistances,537
6741,Strength,538
6764,Intelligence,539
6785,Fire Damage,540
6797,Projectile Damage,541
6884,Two Handed Melee Damage and Life Leech Speed,542
6913,Bow Damage and Critical Strike Chance,543
6949,Energy Shield and Recovery,544
6981,Strength,545
7082,Sword Damage,546
7092,Physical and Lightning Damage,547
7112,Dexterity,548
7153,Lightning Damage,549
7162,Armour and Elemental Resistances,550
7187,Burning Damage Multiplier with Attacks,551
7285,Damage with Life Cost Skills and Reduced Life Cost,552
7335,Armour and Life Regeneration,553
7364,Staff Area of Effect,554
7374,Life and Reduced Cost,555
7388,Intelligence,556
7444,Intelligence,557
7503,Energy Shield Recharge Rate,558
7594,Reservation Efficiency,559
7609,Forking Angle,560
7614,Skill Duration,561
7641,Energy Shield and Energy Shield Recharge Rate,562
7659,Marked Enemy Reduced Accuracy,563
7786,Totem Damage and Attack Speed,564
7828,Melee Attack Speed,565
7898,Minion Area of Effect,566
7903,Block,567
7920,Trap and Mine Throwing Speed,568
7938,Intelligence,569
8012,Life and Mana on Hit,570
8027,Mine Critical Strike Chance and Multiplier,571
8198,"Chance to Ignite, Freeze and Shock",572
8302,Power Charge Duration,573
8348,Evasion and Spell Suppression,574
8426,Two Handed Melee Damage and Reduced Enemy Stun Threshold,575
8500,Mace Damage and Stun Duration,576
8533,Two Handed Melee Damage,577
8544,Dexterity,578
8566,Physical Bow Damage and Stun Threshold,579
8620,Mark Effect,580
8624,Ignite Chance and Duration,581
8640,Dexterity,582
8643,Cast Speed,583
8879,Weapon Fire Damage,584
8930,Life and Flasks,585
8938,Dexterity,586
8948,Intelligence,587
9009,Movement Speed,588
9149,Chill and Freeze Resistance,589
9171,Life Leech,590
9206,Life,591
9262,Sword Damage and Melee Range,592
9294,Physical and Minion Damage,593
9355,Strength,594
9370,Minion Attack and Cast Speed,595
9373,Mana and Flask Effect,596
9386,Life and Energy Shield,597
9392,Aura Effect,598
9469,Critical Strike Chance,599
9505,Minion Accuracy,600
9511,Strength,601
9650,Minion Damage and Life,602
9695,Armour and Elemental Resistances,603
9769,Spell Suppression and Energy Shield Recharge Rate,604
9786,Evasion and Movement Speed,605
9877,Life,606
9976,Axe Damage,607
9995,Aura Area of Effect,608
10017,Attack Speed,609
10031,Life,610
10073,Armour and Guard Skill Cooldown Recovery,611
10221,Strength,612
10282,One Handed Melee Damage,613
10490,Intelligence,614
10555,Link Duration,615
10575,Intelligence,616
10594,Warcry Speed and Area of Effect,617
10763,Critical Strike Chance,618
10829,Dexterity,619
10843,Projectile Damage,620
10851,Shield Damage,621
10893,Fire Damage,622
10904,Minion Life,623
11016,Physical and Elemental Damage,624
11018,Evasion and Energy Shield,625
11088,Life and Reduced Cost,626
11128,Avoid Interruption while Casting and Elemental Resistances,627
11162,Cold Damage Over Time Multiplier,628
11190,Totem Life and Physical Damage Reduction,629
11200,Corpse Life,630
11334,Intelligence,631
11364,Ailment Damage,632
11431,Totem Life and Physical Damage Reduction,633
11489,Dagger Critical Strike Chance and Multiplier,634
11497,Dexterity,635
11515,Two Handed Melee Damage and Area of Effect,636
11551,Intelligence,637
11568,Bleed Damage Multiplier,638
11651,Intelligence,639
11659,Avoid Interruption while Casting and Elemental Resistances,640
11678,Projectile Damage,641
11688,Spell Damage,642
11689,Shield Spell Damage and Spell Block,643
11700,Melee Area of Effect and Damage,644
11716,Mine Critical Strike Multiplier,645
11792,Warcry Speed and Duration,646
11811,Poison Chance and Duration,647
11850,Blind Duration,648
11859,Strength,649
11984,Chance to Poison with Spells,650
12068,Bow Damage and Attack Speed,651
12189,Cast Speed and Spell Critical Strike Chance,652
12236,Attack Damage with Shield,653
12246,Energy Shield,654
12247,Damage with Life Cost Skills and Reduced Life Cost,655
12250,Energy Shield and Mana,656
12379,Lightning Damage and Cast Speed,657
12407,Axe Damage and Attack Speed,658
12412,Dexterity,659
12415,Attack Ignite Chance and Attack Speed,660
12439,Cold Damage and Freeze Chance,661
12536,Elemental Damage,662
12720,Sword Damage and Block,663
12769,Reservation Efficiency,664
12783,Critical Strike Multiplier per Power Charge,665
12794,Projectile Attack Critical Strike Chance and Multiplier,666
12801,Evasion and Life,667
12824,Trap Damage,668
12852,Elemental Damage,669
12888,Mana Regeneration per Power Charge,670
12913,Mana,671
12948,Bow Critical Strike Chance and Multiplier,672
13009,Dexterity,673
13168,Poison Damage and Cast Speed,674
13191,Skill Duration,675
13202,Cold Damage and Cold Ailment Effect,676
13231,Bow Attack Speed and Phasing,677
13232,Increased Energy Shield Leeched,678
13273,Bleed Chance,679
13322,Energy Shield,680
13498,Impale Chance,681
13559,Burning Damage Multiplier,682
13573,Dual Wield Attack and Cast Speed and Block,683
13714,Life,684
13753,Energy Shield,685
13782,Physical Damage,686
13807,Dual Wield Damage and Attack Speed,687
13885,Dexterity,688
13961,Lightning Ailment Effect,689
14021,Intelligence,690
14040,Fire Damage,691
14056,Strength,692
14057,Life and Energy Shield,693
14090,Reduced Skill Duration,694
14151,Intelligence,695
14157,Dagger Critical Strike Chance,696
14182,Energy Shield,697
14209,Cold Ailment Duration,698
14211,Energy Shield,699
14292,Dexterity,700
14384,Maximum Fortification,701
14400,Flask Effect Duration,702
14419,Weapon Fire Damage,703
14674,Faster Doom Gain,704
14745,Spell Area of Effect and Damage,705
14767,Fortification Gain,706
14804,Projectile Attack Critical Strike Chance,707
14930,Strength,708
14936,Life,709
15021,Shield Block and Elemental Resistances,710
15064,Strength,711
15073,Life,712
15081,Minion Damage and Duration,713
15086,Mace Damage and Critical Strike Chance,714
15117,Intelligence,715
15144,Attack Speed and Dexterity,716
15163,Mace Damage and Area of Effect,717
15167,Golem Life and Buff Effect,718
15228,Critical Strike Multiplier,719
15365,Area of Effect,720
15405,Strength,721
15438,Two Handed Melee Damage and Stun Duration,722
15451,Warcry Speed and Cooldown Recovery,723
15549,Intelligence,724
15599,"Attack and Cast Speed, Accuracy",725
15631,Strength,726
15678,Melee Critical Strike Multiplier,727
15716,Staff Critical Strike Chance and Multiplier,728
15837,Avoid Status Ailments,729
15868,Life and Armour,730
15973,Brand Damage and Duration,731
16079,Evasion Per Frenzy Charge,732
16167,Dexterity,733
16213,Attack Speed per Frenzy Charge,734
16380,Accuracy and Critical Strike Chance,735
16544,Dexterity,736
16602,Life Flasks and Flask Duration,737
16743,Dual Wield Spell Damage and Movement Speed,738
16754,Staff Critical Strike Chance,739
16756,Axe Damage and Impale Chance,740
16775,Strength,741
16790,Spell Critical Strike Chance,742
16851,Bow Damage and Accuracy,743
16860,Physical Attack Damage,744
16882,Flask Effect Duration,745
16954,Critical Strike Chance per Power Charge,746
16970,Damage if Consumed a Corpse,747
17038,Stun Duration,748
17201,Dexterity,749
17236,Energy Shield and Energy Shield Recharge Rate,750
17251,Armour and Energy Shield,751
17352,Mana and Life,752
17383,Mana and Aura Area of Effect,753
17412,Minion Life,754
17421,Mana and Flask Charges Gained,755
17546,Mana and Flasks,756
17566,Armour and Evasion,757
17569,Totem Critical Strike Chance,758
17579,Spell Damage,759
17674,Physical Damage,760
17735,Intelligence,761
17788,Flask Charges Gained,762
17790,Flask Charges Gained,763
17814,Evasion and Spell Suppression,764
17821,Mana Regeneration and Life,765
17833,Bleed Damage Multiplier,766
17849,Mine Damage,767
17908,Claw Damage and Attack Speed,768
17934,Attack Damage and Speed,769
18009,Melee Damage and Strike Range,770
18033,Intelligence,771
18103,Dexterity,772
18182,Intelligence,773
18302,Life,774
18359,Minion Block,775
18379,Mace Critical Strike Chance and Multiplier,776
18402,Life and Flasks,777
18661,Mine Damage and Reservation Efficiency,778
18670,Weapon Elemental Damage,779
18715,Fire Damage,780
18767,Energy Shield and Mana,781
18770,Spell Suppression,782
18866,Cast Speed,783
18901,Melee Damage,784
18990,Staff Block,785
19008,Shield Spell Damage and Spell Block,786
19098,Wand Lightning Damage,787
19140,Totem Life and Placement Speed,788
19210,Physical Damage,789
19228,Claw Ailment Damage and Poison Chance,790
19261,Warcry Cooldown Recovery,791
19287,Life and Life on Kill,792
19374,Energy Shield,793
19388,Axe Damage and Accuracy,794
19501,Intelligence,795
19609,Physical Damage Over Time Multiplier,796
19635,Intelligence,797
19679,Brand Range and Brand Recall Cooldown Recovery,798
19711,Dexterity,799
19782,Defences with Shield,800
19884,Strength,801
19919,Spell Block,802
19939,Life,803
20010,Dexterity,804
20018,Axe Damage,805
20077,Hex Area of Effect and Faster Doom Gain,806
20127,Poison Damage Multiplier,807
20142,Totem Critical Strike Multiplier,808
20167,Dagger Ailment Damage and Poison Chance,809
20228,Mana Regeneration and Life,810
20310,Block,811
20467,Mace Critical Strike Chance and Multiplier,812
20546,Intelligence,813
20551,Life,814
20807,Dexterity,815
20812,Evasion and Spell Suppression,816
20844,Wand Attack Speed and Accuracy,817
20852,Fire and Cold Damage,818
20966,Mace Damage,819
20987,Elemental Damage,820
21033,Mana,821
21048,Link Duration and Cast Speed,822
21075,Area of Effect Damage,823
21170,Cold Ailment Effect,824
21262,Elemental Damage,825
21301,Strength,826
21575,Elemental Damage,827
21678,Intelligence,828
21693,Physical Damage and Attack and Cast Speed,829
21758,Frenzy Charge Duration,830
21835,Life,831
21929,Armour and Energy Shield,832
21934,Spell Damage,833
21974,Reservation Efficiency,834
22061,Mana,835
22062,Minion Damage and Duration,836
22090,Cold Damage,837
22217,Spell Suppression and Life Flask Recovery,838
22261,Dagger Damage and Attack Speed,839
22266,Dexterity,840
22285,Strength,841
22315,Mana Regeneration,842
22407,Wand Physical Damage and Attack Speed,843
22423,Dual Wield Damage,844
22472,Mana,845
22473,Energy Shield,846
22488,Trap Throwing Speed,847
22497,Cast Speed,848
22577,Block Recovery and Energy Shield,849
22618,Mana,850
22627,Life and Armour,851
22647,Ignite Chance,852
22703,Strength,853
22728,Staff Elemental Damage and Penetration,854
22893,Skill Duration,855
23027,Strength,856
23122,Projectile Damage,857
23185,Minion Damage and Accuracy,858
23199,Bleed Damage and Chance,859
23215,Curse Effect on You and Chaos Resistance,860
23334,Projectile Damage,861
23438,Life Flasks and Flask Duration,862
23439,Critical Strike Chance,863
23449,Poison Damage and Chance,864
23456,Mana and Life Regeneration,865
23471,Dexterity,866
23507,Attack and Cast Speed,867
23616,Physical and Chaos Damage,868
23659,Energy Shield,869
23760,Physical Damage and Overwhelm,870
23852,Axe Damage,871
23881,Strength,872
23886,Attack Speed and Poison Duration,873
23912,Bow Damage and Attack Speed,874
23951,Movement Speed per Frenzy Charge,875
24083,Strength,876
24155,Mace Critical Strike Chance,877
24157,Totem Damage and Placement Speed,878
24229,Staff Critical Strike Chance,879
24377,Attack Speed,880
24472,Skill Duration,881
24496,Dexterity,882
24641,Dual Wield Damage,883
24643,Attack Speed,884
24677,Mace Elemental Damage and Accuracy,885
24772,Mace Damage and Area of Effect,886
24824,Minion Attack and Cast Speed,887
24865,Strength,888
24872,Golem Life and Buff Effect,889
24914,Strength,890
25067,Evasion and Life,891
25168,Physical Damage as Extra Fire Damage,892
25175,Melee Damage and Splash Area of Effect,893
25209,Dual Wield Critical Strike Multiplier and Accuracy,894
25222,Minion Attack and Cast Speed,895
25237,Mana Regeneration and Reduced Mana Cost,896
25260,Life,897
25324,Attack Damage with Shield,898
25332,Minion Damage and Attack and Cast Speed,899
25511,Weapon Elemental Damage,900
25531,Strength,901
25682,Axe Damage,902
25714,Mana Regeneration and Increased Mana Cost,903
25732,Totem Attack and Cast Speed,904
25757,Spell Critical Strike Chance,905
25766,Poison Damage Multiplier,906
25770,Trap Cooldown Recovery,907
25775,Claw Damage and Attack Speed,908
25781,Fortification Gain,909
25789,Energy Shield Leech,910
25796,Bleed Chance,911
25831,Reservation Efficiency,912
25933,Life,913
26002,Critical Strike Chance against Marked Enemy,914
26188,Axe Damage and Critical Strike Chance,915
26270,Intelligence,916
26365,Attack Ignite Chance,917
26456,Mace Damage and Attack Speed,918
26471,Shock Avoidance,919
26481,Minion Damage and Life,920
26523,Strength,921
26528,Life and Elemental Ailment Avoidance,922
26712,Armour,923
26740,Life Regeneration,924
27134,Mace Damage,925
27140,Two Handed Melee Damage and Leech,926
27276,Physical and Chaos Damage,927
27283,Dexterity,928
27323,Shield Spell Block,929
27325,Damage against Marked Enemy,930
27415,Intelligence,931
27444,Totem Critical Strike Chance and Multiplier,932
27564,Intelligence,933
27575,Power Charge Duration,934
27592,Intelligence,935
27605,Fortification Gain,936
27656,Intelligence,937
27659,Dexterity,938
27709,Ignite Chance,939
27718,Attack Speed and Rage ,940
27879,Wand Critical Strike Chance and Multiplier,941
27962,Trap Throwing Speed and Trigger Area,942
28012,Dexterity,943
28076,Mana and Mana Regeneration,944
28221,Attack Speed,945
28265,Mana and Mana Regeneration,946
28311,Life Leech Speed and Attack Speed,947
28330,Strength,948
28424,Mana and Mana on Kill,949
28574,Dexterity,950
28658,Projectile Attack Critical Strike Chance,951
28753,Trap Damage,952
28758,Dagger Critical Strike Multiplier,953
28859,Reservation Efficiency,954
28887,Faster Ignite,955
29005,Armour and Energy Shield,956
29033,Brand Critical Strike Chance,957
29034,Two Handed Melee Damage and Stun Duration,958
29061,Elemental Damage,959
29089,Bow Damage and Evasion,960
29104,Mana and Flask Charges Gained,961
29106,Minion Damage and Attack and Cast Speed,962
29171,Minion Life,963
29185,Two Handed Melee Critical Strike Chance and Accuracy,964
29199,Intelligence,965
29292,Attack Speed and Rage ,966
29353,Strength,967
29359,Attack Damage and Leech,968
29379,Accuracy and Elemental Resistances,969
29454,Spell Suppression,970
29543,Axe Damage and Attack Speed,971
29547,Life Leech,972
29549,Mine Damage,973
29552,Wand Damage,974
